tabla,fila_index,customerkey,columna_diferente,valor_postgres,valor_sqlserver
dim_customer,2602,13602,addressline1,3168 True Drive,3168 1 Drive
dim_customer,18030,29030,addressline1,259 True Drive,259 1 Drive
dim_customer,0,11000,birthdate,1966-04-08Z,1971-10-06
dim_customer,1,11001,birthdate,1965-05-14Z,1976-05-10
dim_customer,2,11002,birthdate,1965-08-12Z,1971-02-09
dim_customer,3,11003,birthdate,1968-02-15Z,1973-08-14
dim_customer,4,11004,birthdate,1968-08-08Z,1979-08-05
dim_customer,5,11005,birthdate,1965-08-05Z,1976-08-01
dim_customer,6,11006,birthdate,1965-12-06Z,1976-12-02
dim_customer,7,11007,birthdate,1964-05-09Z,1969-11-06
dim_customer,8,11008,birthdate,1964-07-07Z,1975-07-04
dim_customer,9,11009,birthdate,1964-04-01Z,1969-09-29
dim_customer,10,11010,birthdate,1964-02-06Z,1969-08-05
dim_customer,11,11011,birthdate,1963-11-04Z,1969-05-03
dim_customer,12,11012,birthdate,1968-01-18Z,1979-01-14
dim_customer,13,11013,birthdate,1968-08-06Z,1979-08-03
dim_customer,14,11014,birthdate,1968-05-09Z,1973-11-06
dim_customer,15,11015,birthdate,1979-02-27Z,1984-08-26
dim_customer,16,11016,birthdate,1979-04-28Z,1984-10-25
dim_customer,17,11017,birthdate,1944-06-26Z,1949-12-24
dim_customer,18,11018,birthdate,1944-10-09Z,1955-10-06
dim_customer,19,11019,birthdate,1978-03-07Z,1983-09-04
dim_customer,20,11020,birthdate,1978-09-20Z,1984-03-19
dim_customer,21,11021,birthdate,1978-09-03Z,1984-03-02
dim_customer,22,11022,birthdate,1978-10-12Z,1984-04-10
dim_customer,23,11023,birthdate,1978-10-11Z,1984-04-09
dim_customer,24,11024,birthdate,1978-09-17Z,1984-03-16
dim_customer,25,11025,birthdate,1945-12-23Z,1951-06-22
dim_customer,26,11026,birthdate,1946-04-03Z,1951-10-01
dim_customer,27,11027,birthdate,1946-12-07Z,1952-06-05
dim_customer,28,11028,birthdate,1946-04-11Z,1951-10-09
dim_customer,29,11029,birthdate,1946-12-21Z,1952-06-19
dim_customer,30,11030,birthdate,1947-02-22Z,1958-02-18
dim_customer,31,11031,birthdate,1947-08-22Z,1953-02-18
dim_customer,32,11032,birthdate,1947-06-11Z,1952-12-08
dim_customer,33,11033,birthdate,1947-09-23Z,1958-09-19
dim_customer,34,11034,birthdate,1947-06-19Z,1952-12-16
dim_customer,35,11035,birthdate,1948-02-24Z,1953-08-23
dim_customer,36,11036,birthdate,1978-12-18Z,1984-06-16
dim_customer,37,11037,birthdate,1977-11-27Z,1983-05-27
dim_customer,38,11038,birthdate,1948-03-23Z,1953-09-20
dim_customer,39,11039,birthdate,1948-12-17Z,1954-06-16
dim_customer,40,11040,birthdate,1977-08-01Z,1983-01-29
dim_customer,41,11041,birthdate,1977-10-16Z,1983-04-15
dim_customer,42,11042,birthdate,1977-06-13Z,1982-12-11
dim_customer,43,11043,birthdate,1976-02-24Z,1981-08-23
dim_customer,44,11044,birthdate,1949-05-24Z,1954-11-21
dim_customer,45,11045,birthdate,1950-05-19Z,1955-11-16
dim_customer,46,11046,birthdate,1950-03-22Z,1955-09-19
dim_customer,47,11047,birthdate,1950-02-27Z,1955-08-27
dim_customer,48,11048,birthdate,1950-11-22Z,1956-05-21
dim_customer,49,11049,birthdate,1980-07-18Z,1986-01-15
dim_customer,50,11050,birthdate,1951-09-07Z,1957-03-06
dim_customer,51,11051,birthdate,1951-08-04Z,1957-01-31
dim_customer,52,11052,birthdate,1951-08-07Z,1957-02-03
dim_customer,53,11053,birthdate,1980-08-20Z,1986-02-17
dim_customer,54,11054,birthdate,1952-03-10Z,1957-09-07
dim_customer,55,11055,birthdate,1952-03-05Z,1957-09-02
dim_customer,56,11056,birthdate,1953-04-03Z,1958-10-01
dim_customer,57,11057,birthdate,1953-10-12Z,1970-04-07
dim_customer,58,11058,birthdate,1954-04-27Z,1965-04-23
dim_customer,59,11059,birthdate,1954-04-01Z,1959-09-29
dim_customer,60,11060,birthdate,1954-03-17Z,1959-09-14
dim_customer,61,11061,birthdate,1954-02-27Z,1976-02-20
dim_customer,62,11062,birthdate,1975-09-02Z,1981-03-01
dim_customer,63,11063,birthdate,1975-04-07Z,1980-10-04
dim_customer,64,11064,birthdate,1975-12-07Z,1981-06-05
dim_customer,65,11065,birthdate,1973-10-09Z,1979-04-08
dim_customer,66,11066,birthdate,1973-11-27Z,1979-05-27
dim_customer,67,11067,birthdate,1976-09-25Z,1982-03-25
dim_customer,68,11068,birthdate,1955-09-23Z,1966-09-19
dim_customer,69,11069,birthdate,1955-09-21Z,1966-09-17
dim_customer,70,11070,birthdate,1955-04-05Z,1960-10-02
dim_customer,71,11071,birthdate,1955-06-26Z,1960-12-23
dim_customer,72,11072,birthdate,1955-02-06Z,1960-08-05
dim_customer,73,11073,birthdate,1956-08-14Z,1962-02-11
dim_customer,74,11074,birthdate,1956-08-28Z,1962-02-25
dim_customer,75,11075,birthdate,1957-11-16Z,1963-05-16
dim_customer,76,11076,birthdate,1957-07-13Z,1963-01-10
dim_customer,77,11077,birthdate,1957-09-19Z,1963-03-19
dim_customer,78,11078,birthdate,1974-01-10Z,1985-01-06
dim_customer,79,11079,birthdate,1959-03-11Z,1970-03-07
dim_customer,80,11080,birthdate,1959-07-17Z,1965-01-13
dim_customer,81,11081,birthdate,1966-07-24Z,1972-01-21
dim_customer,82,11082,birthdate,1966-08-04Z,1972-02-01
dim_customer,83,11083,birthdate,1966-03-15Z,1977-03-11
dim_customer,84,11084,birthdate,1957-09-12Z,1963-03-12
dim_customer,85,11085,birthdate,1957-07-19Z,1963-01-16
dim_customer,86,11086,birthdate,1957-12-23Z,1963-06-22
dim_customer,87,11087,birthdate,1957-10-03Z,1963-04-02
