tabla,fila_index,datekey,columna_diferente,valor_postgres,valor_sqlserver
dim_date,181,20050701,fiscalyear,2005,2006
dim_date,182,20050702,fiscalyear,2005,2006
dim_date,183,20050703,fiscalyear,2005,2006
dim_date,184,20050704,fiscalyear,2005,2006
dim_date,185,20050705,fiscalyear,2005,2006
dim_date,186,20050706,fiscalyear,2005,2006
dim_date,187,20050707,fiscalyear,2005,2006
dim_date,188,20050708,fiscalyear,2005,2006
dim_date,189,20050709,fiscalyear,2005,2006
dim_date,190,20050710,fiscalyear,2005,2006
dim_date,191,20050711,fiscalyear,2005,2006
dim_date,192,20050712,fiscalyear,2005,2006
dim_date,193,20050713,fiscalyear,2005,2006
dim_date,194,20050714,fiscalyear,2005,2006
dim_date,195,20050715,fiscalyear,2005,2006
dim_date,196,20050716,fiscalyear,2005,2006
dim_date,197,20050717,fiscalyear,2005,2006
dim_date,198,20050718,fiscalyear,2005,2006
dim_date,199,20050719,fiscalyear,2005,2006
dim_date,200,20050720,fiscalyear,2005,2006
dim_date,201,20050721,fiscalyear,2005,2006
dim_date,202,20050722,fiscalyear,2005,2006
dim_date,203,20050723,fiscalyear,2005,2006
dim_date,204,20050724,fiscalyear,2005,2006
dim_date,205,20050725,fiscalyear,2005,2006
dim_date,206,20050726,fiscalyear,2005,2006
dim_date,207,20050727,fiscalyear,2005,2006
dim_date,208,20050728,fiscalyear,2005,2006
dim_date,209,20050729,fiscalyear,2005,2006
dim_date,210,20050730,fiscalyear,2005,2006
dim_date,211,20050731,fiscalyear,2005,2006
dim_date,212,20050801,fiscalyear,2005,2006
dim_date,213,20050802,fiscalyear,2005,2006
dim_date,214,20050803,fiscalyear,2005,2006
dim_date,215,20050804,fiscalyear,2005,2006
dim_date,216,20050805,fiscalyear,2005,2006
dim_date,217,20050806,fiscalyear,2005,2006
dim_date,218,20050807,fiscalyear,2005,2006
dim_date,219,20050808,fiscalyear,2005,2006
dim_date,220,20050809,fiscalyear,2005,2006
dim_date,221,20050810,fiscalyear,2005,2006
dim_date,222,20050811,fiscalyear,2005,2006
dim_date,223,20050812,fiscalyear,2005,2006
dim_date,224,20050813,fiscalyear,2005,2006
dim_date,225,20050814,fiscalyear,2005,2006
dim_date,226,20050815,fiscalyear,2005,2006
dim_date,227,20050816,fiscalyear,2005,2006
dim_date,228,20050817,fiscalyear,2005,2006
dim_date,229,20050818,fiscalyear,2005,2006
dim_date,230,20050819,fiscalyear,2005,2006
dim_date,231,20050820,fiscalyear,2005,2006
dim_date,232,20050821,fiscalyear,2005,2006
dim_date,233,20050822,fiscalyear,2005,2006
dim_date,234,20050823,fiscalyear,2005,2006
dim_date,235,20050824,fiscalyear,2005,2006
dim_date,236,20050825,fiscalyear,2005,2006
dim_date,237,20050826,fiscalyear,2005,2006
dim_date,238,20050827,fiscalyear,2005,2006
dim_date,239,20050828,fiscalyear,2005,2006
dim_date,240,20050829,fiscalyear,2005,2006
dim_date,241,20050830,fiscalyear,2005,2006
dim_date,242,20050831,fiscalyear,2005,2006
dim_date,243,20050901,fiscalyear,2005,2006
dim_date,244,20050902,fiscalyear,2005,2006
dim_date,245,20050903,fiscalyear,2005,2006
dim_date,246,20050904,fiscalyear,2005,2006
dim_date,247,20050905,fiscalyear,2005,2006
dim_date,248,20050906,fiscalyear,2005,2006
dim_date,249,20050907,fiscalyear,2005,2006
dim_date,250,20050908,fiscalyear,2005,2006
dim_date,251,20050909,fiscalyear,2005,2006
dim_date,252,20050910,fiscalyear,2005,2006
dim_date,253,20050911,fiscalyear,2005,2006
dim_date,254,20050912,fiscalyear,2005,2006
dim_date,255,20050913,fiscalyear,2005,2006
dim_date,256,20050914,fiscalyear,2005,2006
dim_date,257,20050915,fiscalyear,2005,2006
dim_date,258,20050916,fiscalyear,2005,2006
dim_date,259,20050917,fiscalyear,2005,2006
dim_date,260,20050918,fiscalyear,2005,2006
dim_date,261,20050919,fiscalyear,2005,2006
dim_date,262,20050920,fiscalyear,2005,2006
dim_date,263,20050921,fiscalyear,2005,2006
dim_date,264,20050922,fiscalyear,2005,2006
dim_date,265,20050923,fiscalyear,2005,2006
dim_date,266,20050924,fiscalyear,2005,2006
dim_date,267,20050925,fiscalyear,2005,2006
dim_date,268,20050926,fiscalyear,2005,2006
dim_date,269,20050927,fiscalyear,2005,2006
dim_date,270,20050928,fiscalyear,2005,2006
dim_date,271,20050929,fiscalyear,2005,2006
dim_date,272,20050930,fiscalyear,2005,2006
dim_date,273,20051001,fiscalyear,2005,2006
dim_date,274,20051002,fiscalyear,2005,2006
dim_date,275,20051003,fiscalyear,2005,2006
dim_date,276,20051004,fiscalyear,2005,2006
dim_date,277,20051005,fiscalyear,2005,2006
dim_date,278,20051006,fiscalyear,2005,2006
dim_date,279,20051007,fiscalyear,2005,2006
dim_date,280,20051008,fiscalyear,2005,2006
dim_date,281,20051009,fiscalyear,2005,2006
dim_date,282,20051010,fiscalyear,2005,2006
dim_date,283,20051011,fiscalyear,2005,2006
dim_date,284,20051012,fiscalyear,2005,2006
dim_date,285,20051013,fiscalyear,2005,2006
dim_date,286,20051014,fiscalyear,2005,2006
dim_date,287,20051015,fiscalyear,2005,2006
dim_date,288,20051016,fiscalyear,2005,2006
dim_date,289,20051017,fiscalyear,2005,2006
dim_date,290,20051018,fiscalyear,2005,2006
dim_date,291,20051019,fiscalyear,2005,2006
dim_date,292,20051020,fiscalyear,2005,2006
dim_date,293,20051021,fiscalyear,2005,2006
dim_date,294,20051022,fiscalyear,2005,2006
dim_date,295,20051023,fiscalyear,2005,2006
dim_date,296,20051024,fiscalyear,2005,2006
dim_date,297,20051025,fiscalyear,2005,2006
dim_date,298,20051026,fiscalyear,2005,2006
dim_date,299,20051027,fiscalyear,2005,2006
dim_date,300,20051028,fiscalyear,2005,2006
dim_date,301,20051029,fiscalyear,2005,2006
dim_date,302,20051030,fiscalyear,2005,2006
dim_date,303,20051031,fiscalyear,2005,2006
dim_date,304,20051101,fiscalyear,2005,2006
dim_date,305,20051102,fiscalyear,2005,2006
dim_date,306,20051103,fiscalyear,2005,2006
dim_date,307,20051104,fiscalyear,2005,2006
dim_date,308,20051105,fiscalyear,2005,2006
dim_date,309,20051106,fiscalyear,2005,2006
dim_date,310,20051107,fiscalyear,2005,2006
dim_date,311,20051108,fiscalyear,2005,2006
dim_date,312,20051109,fiscalyear,2005,2006
dim_date,313,20051110,fiscalyear,2005,2006
dim_date,314,20051111,fiscalyear,2005,2006
dim_date,315,20051112,fiscalyear,2005,2006
dim_date,316,20051113,fiscalyear,2005,2006
dim_date,317,20051114,fiscalyear,2005,2006
dim_date,318,20051115,fiscalyear,2005,2006
dim_date,319,20051116,fiscalyear,2005,2006
dim_date,320,20051117,fiscalyear,2005,2006
dim_date,321,20051118,fiscalyear,2005,2006
dim_date,322,20051119,fiscalyear,2005,2006
dim_date,323,20051120,fiscalyear,2005,2006
dim_date,324,20051121,fiscalyear,2005,2006
dim_date,325,20051122,fiscalyear,2005,2006
dim_date,326,20051123,fiscalyear,2005,2006
dim_date,327,20051124,fiscalyear,2005,2006
dim_date,328,20051125,fiscalyear,2005,2006
dim_date,329,20051126,fiscalyear,2005,2006
dim_date,330,20051127,fiscalyear,2005,2006
dim_date,331,20051128,fiscalyear,2005,2006
dim_date,332,20051129,fiscalyear,2005,2006
dim_date,333,20051130,fiscalyear,2005,2006
dim_date,334,20051201,fiscalyear,2005,2006
dim_date,335,20051202,fiscalyear,2005,2006
dim_date,336,20051203,fiscalyear,2005,2006
dim_date,337,20051204,fiscalyear,2005,2006
dim_date,338,20051205,fiscalyear,2005,2006
dim_date,339,20051206,fiscalyear,2005,2006
dim_date,340,20051207,fiscalyear,2005,2006
dim_date,341,20051208,fiscalyear,2005,2006
dim_date,342,20051209,fiscalyear,2005,2006
dim_date,343,20051210,fiscalyear,2005,2006
dim_date,344,20051211,fiscalyear,2005,2006
dim_date,345,20051212,fiscalyear,2005,2006
dim_date,346,20051213,fiscalyear,2005,2006
dim_date,347,20051214,fiscalyear,2005,2006
dim_date,348,20051215,fiscalyear,2005,2006
dim_date,349,20051216,fiscalyear,2005,2006
dim_date,350,20051217,fiscalyear,2005,2006
dim_date,351,20051218,fiscalyear,2005,2006
dim_date,352,20051219,fiscalyear,2005,2006
dim_date,353,20051220,fiscalyear,2005,2006
dim_date,354,20051221,fiscalyear,2005,2006
dim_date,355,20051222,fiscalyear,2005,2006
dim_date,356,20051223,fiscalyear,2005,2006
dim_date,357,20051224,fiscalyear,2005,2006
dim_date,358,20051225,fiscalyear,2005,2006
dim_date,359,20051226,fiscalyear,2005,2006
dim_date,360,20051227,fiscalyear,2005,2006
dim_date,361,20051228,fiscalyear,2005,2006
dim_date,362,20051229,fiscalyear,2005,2006
dim_date,363,20051230,fiscalyear,2005,2006
dim_date,364,20051231,fiscalyear,2005,2006
dim_date,546,20060701,fiscalyear,2006,2007
dim_date,547,20060702,fiscalyear,2006,2007
dim_date,548,20060703,fiscalyear,2006,2007
dim_date,549,20060704,fiscalyear,2006,2007
dim_date,550,20060705,fiscalyear,2006,2007
dim_date,551,20060706,fiscalyear,2006,2007
dim_date,552,20060707,fiscalyear,2006,2007
dim_date,553,20060708,fiscalyear,2006,2007
dim_date,554,20060709,fiscalyear,2006,2007
dim_date,555,20060710,fiscalyear,2006,2007
dim_date,556,20060711,fiscalyear,2006,2007
dim_date,557,20060712,fiscalyear,2006,2007
dim_date,558,20060713,fiscalyear,2006,2007
dim_date,559,20060714,fiscalyear,2006,2007
dim_date,560,20060715,fiscalyear,2006,2007
dim_date,561,20060716,fiscalyear,2006,2007
dim_date,562,20060717,fiscalyear,2006,2007
dim_date,563,20060718,fiscalyear,2006,2007
