tabla,fila_index,resellerkey,columna_diferente,valor_postgres,valor_sqlserver
dim_reseller,1,2,addressline1,7943 Walnut Ave,3207 S Grady Way
dim_reseller,18,19,addressline1,1318 Lasalle Street,99300 223rd Southeast
dim_reseller,31,32,addressline1,Roßstr 2248,Roástr 2248
dim_reseller,102,103,addressline1,"22, rue du Départ","22, rue du D‚part"
dim_reseller,103,104,addressline1,Kurfürstenstr 9,Kurfrstenstr 9
dim_reseller,129,130,addressline1,9178 Jumping St.,Po Box 8259024
dim_reseller,211,212,addressline1,Kurfürstenstr 574,Kurfrstenstr 574
dim_reseller,228,229,addressline1,"21801, rue Léo Delibes","21801, rue L‚o Delibes"
dim_reseller,229,230,addressline1,Königsteiner Straße 9,K”nigsteiner Straáe 9
dim_reseller,253,254,addressline1,2681 Eagle Peak,25915 140th Ave Ne
dim_reseller,277,278,addressline1,9707 Coldwater Drive,25631 Florida Mall Ave.
dim_reseller,324,325,addressline1,8713 Yosemite Ct.,25111 228th St Sw
dim_reseller,337,338,addressline1,Rotthäuser Weg 511,Rotth„user Weg 511
dim_reseller,408,409,addressline1,"18, rue de l´Esplanade","18, rue de l'Esplanade"
dim_reseller,427,428,addressline1,Krönerweg 9249,Kr”nerweg 9249
dim_reseller,472,473,addressline1,9228 Via Del Sol,Prime Outlets
dim_reseller,481,482,addressline1,Roßstr 9938,Roástr 9938
dim_reseller,516,517,addressline1,"30, avenue de l´ Union Centrale","30, avenue de l' Union Centrale"
dim_reseller,534,535,addressline1,"33, rue Georges-Clémenceau","33, rue Georges-Cl‚menceau"
dim_reseller,569,570,addressline1,26910 Indela Road,25981 College Street
dim_reseller,589,590,addressline1,Kurfürstenstr 74,Kurfrstenstr 74
dim_reseller,613,614,addressline1,"1, place de la République","1, place de la R‚publique"
dim_reseller,614,615,addressline1,Königsteiner Straße 449,K”nigsteiner Straáe 449
dim_reseller,637,638,addressline1,"88, avenue de l´ Union Centrale","88, avenue de l' Union Centrale"
dim_reseller,654,655,addressline1,"25730, boul. St-Régis","25730, boul. St-R‚gis"
dim_reseller,661,662,addressline1,"28, avenue des Champs-Elysées","28, avenue des Champs-Elys‚es"
dim_reseller,0,1,annualrevenue,30000,30000.0
dim_reseller,1,2,annualrevenue,80000,80000.0
dim_reseller,2,3,annualrevenue,150000,150000.0
dim_reseller,3,4,annualrevenue,30000,30000.0
dim_reseller,4,5,annualrevenue,80000,80000.0
dim_reseller,5,6,annualrevenue,150000,150000.0
dim_reseller,6,7,annualrevenue,30000,30000.0
dim_reseller,7,8,annualrevenue,80000,80000.0
dim_reseller,8,9,annualrevenue,150000,150000.0
