tabla,fila_index,salesordernumber,salesorderlinenumber,columna_diferente,valor_postgres,valor_sqlserver
fact_internet_sales,0,SO43697,1,duedate,2011-06-12 00:00:00+00:00,2011-01-10 00:00:00
fact_internet_sales,1,SO43698,1,duedate,2011-06-12 00:00:00+00:00,2011-01-10 00:00:00
fact_internet_sales,2,SO43699,1,duedate,2011-06-12 00:00:00+00:00,2011-01-10 00:00:00
fact_internet_sales,3,SO43700,1,duedate,2011-06-12 00:00:00+00:00,2011-01-10 00:00:00
fact_internet_sales,4,SO43701,1,duedate,2011-06-12 00:00:00+00:00,2011-01-10 00:00:00
fact_internet_sales,5,SO43702,1,duedate,2011-06-13 00:00:00+00:00,2011-01-11 00:00:00
fact_internet_sales,6,SO43703,1,duedate,2011-06-13 00:00:00+00:00,2011-01-11 00:00:00
fact_internet_sales,7,SO43704,1,duedate,2011-06-13 00:00:00+00:00,2011-01-11 00:00:00
fact_internet_sales,8,SO43705,1,duedate,2011-06-13 00:00:00+00:00,2011-01-11 00:00:00
fact_internet_sales,9,SO43706,1,duedate,2011-06-14 00:00:00+00:00,2011-01-12 00:00:00
fact_internet_sales,10,SO43707,1,duedate,2011-06-14 00:00:00+00:00,2011-01-12 00:00:00
fact_internet_sales,11,SO43708,1,duedate,2011-06-14 00:00:00+00:00,2011-01-12 00:00:00
fact_internet_sales,12,SO43709,1,duedate,2011-06-14 00:00:00+00:00,2011-01-12 00:00:00
fact_internet_sales,13,SO43710,1,duedate,2011-06-14 00:00:00+00:00,2011-01-12 00:00:00
fact_internet_sales,14,SO43711,1,duedate,2011-06-15 00:00:00+00:00,2011-01-13 00:00:00
fact_internet_sales,15,SO43712,1,duedate,2011-06-15 00:00:00+00:00,2011-01-13 00:00:00
fact_internet_sales,16,SO43713,1,duedate,2011-06-16 00:00:00+00:00,2011-01-14 00:00:00
fact_internet_sales,17,SO43714,1,duedate,2011-06-16 00:00:00+00:00,2011-01-14 00:00:00
fact_internet_sales,18,SO43715,1,duedate,2011-06-16 00:00:00+00:00,2011-01-14 00:00:00
fact_internet_sales,19,SO43716,1,duedate,2011-06-16 00:00:00+00:00,2011-01-14 00:00:00
fact_internet_sales,20,SO43717,1,duedate,2011-06-16 00:00:00+00:00,2011-01-14 00:00:00
fact_internet_sales,21,SO43718,1,duedate,2011-06-17 00:00:00+00:00,2011-01-15 00:00:00
fact_internet_sales,22,SO43719,1,duedate,2011-06-17 00:00:00+00:00,2011-01-15 00:00:00
fact_internet_sales,23,SO43720,1,duedate,2011-06-17 00:00:00+00:00,2011-01-15 00:00:00
fact_internet_sales,24,SO43721,1,duedate,2011-06-17 00:00:00+00:00,2011-01-15 00:00:00
fact_internet_sales,25,SO43722,1,duedate,2011-06-18 00:00:00+00:00,2011-01-16 00:00:00
fact_internet_sales,26,SO43723,1,duedate,2011-06-18 00:00:00+00:00,2011-01-16 00:00:00
fact_internet_sales,27,SO43724,1,duedate,2011-06-18 00:00:00+00:00,2011-01-16 00:00:00
fact_internet_sales,28,SO43725,1,duedate,2011-06-19 00:00:00+00:00,2011-01-17 00:00:00
fact_internet_sales,29,SO43726,1,duedate,2011-06-19 00:00:00+00:00,2011-01-17 00:00:00
fact_internet_sales,30,SO43727,1,duedate,2011-06-19 00:00:00+00:00,2011-01-17 00:00:00
fact_internet_sales,31,SO43728,1,duedate,2011-06-20 00:00:00+00:00,2011-01-18 00:00:00
fact_internet_sales,32,SO43729,1,duedate,2011-06-20 00:00:00+00:00,2011-01-18 00:00:00
fact_internet_sales,33,SO43730,1,duedate,2011-06-20 00:00:00+00:00,2011-01-18 00:00:00
fact_internet_sales,34,SO43731,1,duedate,2011-06-20 00:00:00+00:00,2011-01-18 00:00:00
fact_internet_sales,35,SO43732,1,duedate,2011-06-20 00:00:00+00:00,2011-01-18 00:00:00
fact_internet_sales,36,SO43733,1,duedate,2011-06-20 00:00:00+00:00,2011-01-18 00:00:00
fact_internet_sales,37,SO43734,1,duedate,2011-06-21 00:00:00+00:00,2011-01-19 00:00:00
fact_internet_sales,38,SO43735,1,duedate,2011-06-21 00:00:00+00:00,2011-01-19 00:00:00
fact_internet_sales,39,SO43736,1,duedate,2011-06-21 00:00:00+00:00,2011-01-19 00:00:00
fact_internet_sales,40,SO43737,1,duedate,2011-06-22 00:00:00+00:00,2011-01-20 00:00:00
fact_internet_sales,41,SO43738,1,duedate,2011-06-22 00:00:00+00:00,2011-01-20 00:00:00
fact_internet_sales,42,SO43739,1,duedate,2011-06-22 00:00:00+00:00,2011-01-20 00:00:00
fact_internet_sales,43,SO43740,1,duedate,2011-06-22 00:00:00+00:00,2011-01-20 00:00:00
fact_internet_sales,44,SO43741,1,duedate,2011-06-23 00:00:00+00:00,2011-01-21 00:00:00
fact_internet_sales,45,SO43742,1,duedate,2011-06-23 00:00:00+00:00,2011-01-21 00:00:00
fact_internet_sales,46,SO43743,1,duedate,2011-06-23 00:00:00+00:00,2011-01-21 00:00:00
fact_internet_sales,47,SO43744,1,duedate,2011-06-23 00:00:00+00:00,2011-01-21 00:00:00
fact_internet_sales,48,SO43745,1,duedate,2011-06-24 00:00:00+00:00,2011-01-22 00:00:00
fact_internet_sales,49,SO43746,1,duedate,2011-06-24 00:00:00+00:00,2011-01-22 00:00:00
fact_internet_sales,50,SO43747,1,duedate,2011-06-25 00:00:00+00:00,2011-01-23 00:00:00
fact_internet_sales,51,SO43748,1,duedate,2011-06-25 00:00:00+00:00,2011-01-23 00:00:00
fact_internet_sales,52,SO43749,1,duedate,2011-06-25 00:00:00+00:00,2011-01-23 00:00:00
fact_internet_sales,53,SO43750,1,duedate,2011-06-25 00:00:00+00:00,2011-01-23 00:00:00
fact_internet_sales,54,SO43751,1,duedate,2011-06-25 00:00:00+00:00,2011-01-23 00:00:00
fact_internet_sales,55,SO43752,1,duedate,2011-06-25 00:00:00+00:00,2011-01-23 00:00:00
fact_internet_sales,56,SO43753,1,duedate,2011-06-25 00:00:00+00:00,2011-01-23 00:00:00
fact_internet_sales,57,SO43754,1,duedate,2011-06-26 00:00:00+00:00,2011-01-24 00:00:00
fact_internet_sales,58,SO43755,1,duedate,2011-06-26 00:00:00+00:00,2011-01-24 00:00:00
fact_internet_sales,59,SO43756,1,duedate,2011-06-26 00:00:00+00:00,2011-01-24 00:00:00
fact_internet_sales,60,SO43757,1,duedate,2011-06-26 00:00:00+00:00,2011-01-24 00:00:00
fact_internet_sales,61,SO43758,1,duedate,2011-06-27 00:00:00+00:00,2011-01-25 00:00:00
fact_internet_sales,62,SO43759,1,duedate,2011-06-27 00:00:00+00:00,2011-01-25 00:00:00
fact_internet_sales,63,SO43760,1,duedate,2011-06-27 00:00:00+00:00,2011-01-25 00:00:00
fact_internet_sales,64,SO43761,1,duedate,2011-06-27 00:00:00+00:00,2011-01-25 00:00:00
fact_internet_sales,65,SO43762,1,duedate,2011-06-28 00:00:00+00:00,2011-01-26 00:00:00
fact_internet_sales,66,SO43763,1,duedate,2011-06-28 00:00:00+00:00,2011-01-26 00:00:00
fact_internet_sales,67,SO43764,1,duedate,2011-06-28 00:00:00+00:00,2011-01-26 00:00:00
fact_internet_sales,68,SO43765,1,duedate,2011-06-28 00:00:00+00:00,2011-01-26 00:00:00
fact_internet_sales,69,SO43766,1,duedate,2011-06-29 00:00:00+00:00,2011-01-27 00:00:00
fact_internet_sales,70,SO43767,1,duedate,2011-06-29 00:00:00+00:00,2011-01-27 00:00:00
fact_internet_sales,71,SO43768,1,duedate,2011-06-30 00:00:00+00:00,2011-01-28 00:00:00
fact_internet_sales,72,SO43769,1,duedate,2011-06-30 00:00:00+00:00,2011-01-28 00:00:00
fact_internet_sales,73,SO43770,1,duedate,2011-06-30 00:00:00+00:00,2011-01-28 00:00:00
fact_internet_sales,74,SO43771,1,duedate,2011-06-30 00:00:00+00:00,2011-01-28 00:00:00
fact_internet_sales,75,SO43772,1,duedate,2011-06-30 00:00:00+00:00,2011-01-28 00:00:00
fact_internet_sales,76,SO43773,1,duedate,2011-06-30 00:00:00+00:00,2011-01-28 00:00:00
fact_internet_sales,77,SO43774,1,duedate,2011-06-30 00:00:00+00:00,2011-01-28 00:00:00
fact_internet_sales,78,SO43775,1,duedate,2011-06-30 00:00:00+00:00,2011-01-28 00:00:00
fact_internet_sales,79,SO43776,1,duedate,2011-07-01 00:00:00+00:00,2011-01-29 00:00:00
fact_internet_sales,80,SO43777,1,duedate,2011-07-01 00:00:00+00:00,2011-01-29 00:00:00
fact_internet_sales,81,SO43778,1,duedate,2011-07-01 00:00:00+00:00,2011-01-29 00:00:00
fact_internet_sales,82,SO43779,1,duedate,2011-07-01 00:00:00+00:00,2011-01-29 00:00:00
fact_internet_sales,83,SO43780,1,duedate,2011-07-02 00:00:00+00:00,2011-01-30 00:00:00
fact_internet_sales,84,SO43781,1,duedate,2011-07-02 00:00:00+00:00,2011-01-30 00:00:00
fact_internet_sales,85,SO43782,1,duedate,2011-07-02 00:00:00+00:00,2011-01-30 00:00:00
fact_internet_sales,86,SO43783,1,duedate,2011-07-02 00:00:00+00:00,2011-01-30 00:00:00
fact_internet_sales,87,SO43784,1,duedate,2011-07-03 00:00:00+00:00,2011-01-31 00:00:00
fact_internet_sales,88,SO43785,1,duedate,2011-07-03 00:00:00+00:00,2011-01-31 00:00:00
fact_internet_sales,89,SO43786,1,duedate,2011-07-03 00:00:00+00:00,2011-01-31 00:00:00
fact_internet_sales,90,SO43787,1,duedate,2011-07-03 00:00:00+00:00,2011-01-31 00:00:00
fact_internet_sales,91,SO43788,1,duedate,2011-07-03 00:00:00+00:00,2011-01-31 00:00:00
fact_internet_sales,92,SO43789,1,duedate,2011-07-03 00:00:00+00:00,2011-01-31 00:00:00
fact_internet_sales,93,SO43790,1,duedate,2011-07-03 00:00:00+00:00,2011-01-31 00:00:00
fact_internet_sales,94,SO43791,1,duedate,2011-07-03 00:00:00+00:00,2011-01-31 00:00:00
fact_internet_sales,95,SO43792,1,duedate,2011-07-03 00:00:00+00:00,2011-01-31 00:00:00
fact_internet_sales,96,SO43793,1,duedate,2011-07-03 00:00:00+00:00,2011-01-31 00:00:00
fact_internet_sales,97,SO43794,1,duedate,2011-07-03 00:00:00+00:00,2011-01-31 00:00:00
fact_internet_sales,98,SO43795,1,duedate,2011-07-04 00:00:00+00:00,2011-02-01 00:00:00
fact_internet_sales,99,SO43796,1,duedate,2011-07-04 00:00:00+00:00,2011-02-01 00:00:00
fact_internet_sales,0,SO43697,1,duedatekey,20110612,20110110
fact_internet_sales,1,SO43698,1,duedatekey,20110612,20110110
fact_internet_sales,2,SO43699,1,duedatekey,20110612,20110110
fact_internet_sales,3,SO43700,1,duedatekey,20110612,20110110
fact_internet_sales,4,SO43701,1,duedatekey,20110612,20110110
fact_internet_sales,5,SO43702,1,duedatekey,20110613,20110111
fact_internet_sales,6,SO43703,1,duedatekey,20110613,20110111
fact_internet_sales,7,SO43704,1,duedatekey,20110613,20110111
fact_internet_sales,8,SO43705,1,duedatekey,20110613,20110111
fact_internet_sales,9,SO43706,1,duedatekey,20110614,20110112
fact_internet_sales,10,SO43707,1,duedatekey,20110614,20110112
fact_internet_sales,11,SO43708,1,duedatekey,20110614,20110112
fact_internet_sales,12,SO43709,1,duedatekey,20110614,20110112
fact_internet_sales,13,SO43710,1,duedatekey,20110614,20110112
fact_internet_sales,14,SO43711,1,duedatekey,20110615,20110113
fact_internet_sales,15,SO43712,1,duedatekey,20110615,20110113
fact_internet_sales,16,SO43713,1,duedatekey,20110616,20110114
fact_internet_sales,17,SO43714,1,duedatekey,20110616,20110114
fact_internet_sales,18,SO43715,1,duedatekey,20110616,20110114
fact_internet_sales,19,SO43716,1,duedatekey,20110616,20110114
fact_internet_sales,20,SO43717,1,duedatekey,20110616,20110114
fact_internet_sales,21,SO43718,1,duedatekey,20110617,20110115
fact_internet_sales,22,SO43719,1,duedatekey,20110617,20110115
fact_internet_sales,23,SO43720,1,duedatekey,20110617,20110115
fact_internet_sales,24,SO43721,1,duedatekey,20110617,20110115
fact_internet_sales,25,SO43722,1,duedatekey,20110618,20110116
fact_internet_sales,26,SO43723,1,duedatekey,20110618,20110116
fact_internet_sales,27,SO43724,1,duedatekey,20110618,20110116
fact_internet_sales,28,SO43725,1,duedatekey,20110619,20110117
fact_internet_sales,29,SO43726,1,duedatekey,20110619,20110117
fact_internet_sales,30,SO43727,1,duedatekey,20110619,20110117
fact_internet_sales,31,SO43728,1,duedatekey,20110620,20110118
fact_internet_sales,32,SO43729,1,duedatekey,20110620,20110118
fact_internet_sales,33,SO43730,1,duedatekey,20110620,20110118
fact_internet_sales,34,SO43731,1,duedatekey,20110620,20110118
fact_internet_sales,35,SO43732,1,duedatekey,20110620,20110118
fact_internet_sales,36,SO43733,1,duedatekey,20110620,20110118
fact_internet_sales,37,SO43734,1,duedatekey,20110621,20110119
fact_internet_sales,38,SO43735,1,duedatekey,20110621,20110119
fact_internet_sales,39,SO43736,1,duedatekey,20110621,20110119
fact_internet_sales,40,SO43737,1,duedatekey,20110622,20110120
fact_internet_sales,41,SO43738,1,duedatekey,20110622,20110120
